id;city_id;city_code;city_name;city_english_name
1;22583;lavender Functionality;Borders EXE Polarised;Fresh copying
2;25663;Persistent pink Investor;Designer Lucia;Borders eyeballs Operations
3;73688;payment IB bleeding-edge;override Peso real-time;quantifying
4;68579;matrix reboot leading-edge;withdrawal primary;Assimilated
5;66111;Argentine Rustic Division;Chair;haptic Representative
6;18567;Florida leverage Frozen;Strategist;next withdrawal Brunei
7;59504;cross-media Krona Buckinghamshire;navigating;compress Multi-layered Bedfordshire
8;11729;Gabon Refined;Granite niches Plastic;services
9;18638;initiatives Plastic;brand Hat;back-end
10;49318;mobile robust;Customer Credit Metal;green Division
