id;continent_id;continent_code;continent_name;continent_english_name
1;26062;Administrator Directives Oregon;Curve Representative teal;Trafficway connecting Wooden
2;50732;deposit solutions;panel USB Granite;Account
3;48208;Illinois Moroccan;hacking Trail;Assistant Supervisor
4;31919;turquoise;cross-media 1080p;end-to-end framework
5;34764;Dollar IB Balanced;Kwacha enable;communities
6;38513;New B2C;Illinois;Rubber
7;51469;Generic;Michigan hybrid;Tunnel deposit Tennessee
8;45811;Islands quantify approach;invoice;Persistent District
9;84286;Tuna transmitter;Supervisor Licensed disintermediate;Operative ubiquitous Personal
10;78092;Summit online;Sleek calculating;copying
