id;county_id;county_code;county_name;county_english_name
1;86588;Practical;Soft deposit magnetic;bottom-line
2;4320;deposit;Practical;logistical magenta
3;26829;circuit Tactics transmit;deposit;Money Program Small
4;51767;Shirt;THX Extended holistic;Maine
5;43736;synergistic Licensed Sahara;Kuwait indigo;Digitized Kina
6;14523;Bangladesh Planner Buckinghamshire;alarm primary;Cloned
7;18160;Eritrea web-enabled;Manager;Fresh Account Stand-alone
8;77522;Sausages Account;tan Dynamic Manor;National Investment
9;53853;Namibia whiteboard JBOD;Account indexing olive;mobile XML
10;15803;Reduced;bypassing;Director withdrawal
