id;currency_id;currency_alphabetic_iso;currency_numeric_iso;currency_name;currency_english_name;currency_symbol;floating_point;is_base_currency;is_default_currency;conversion_method;is_active;sort_order
1;78948;Archipelago) Virginia;bandwidth primary SAS;Philippine Peso;Orchestrator Brand Lanka;£;86183;85972;41934;26587;78651;85818
2;9240;Account vortals Wyoming;compressing Nevada;Argentine Peso;Market Quality matrix;₦;40511;59750;27210;16281;48144;3138
3;51326;next-generation Cheese uniform;Home;Pound Sterling;Salad;₨;19144;48154;20527;958;23140;2912
4;21112;middleware Soft deposit;synthesizing;Forint;Total;CHF;48165;61524;3384;72364;78430;50316
5;54973;Applications AGP red;User-centric;US Dollar;Licensed;$;79145;10187;48015;85123;18468;98144
6;33994;Shirt drive grey;Corporate communities;UIC-Franc;program;C$;18255;76905;17298;23060;59242;25534
7;12357;HDD JSON Lithuanian;application Chair;Mexican Peso;Response;kr;77597;65440;6182;27313;97450;79044
8;4106;Generic Licensed;Industrial;Palladium;XSS Uzbekistan intermediate;₡;52065;9963;28609;18069;77957;72187
9;85695;Frozen Buckinghamshire;Handcrafted;Iceland Krona;Trinidad Mongolia Dynamic;$;4471;4743;20999;2743;8613;49522
10;99104;Chips;solid Pizza;Yemeni Rial;violet Tasty Unbranded;Db;49916;17295;73379;9715;22057;54013
