id;district_id;district_code;district_name;district_english_name
1;71726;Sleek programming Account;stable;Colorado
2;59821;lime;XSS matrix copying;Cotton frictionless Soft
3;20289;Chips Versatile bandwidth-monitored;hard;matrix maroon
4;18559;Kwacha Frozen quantify;Solutions International world-class;Granite Granite
5;21472;Movies;reboot Investment;Jewelery
6;51402;JBOD;Total;mindshare Gorgeous
7;88431;function invoice;Internal Berkshire Guam;solid Utah redundant
8;19471;bandwidth ability India;Gorgeous;Ergonomic
9;32865;Keyboard bypassing;Corporate utilisation withdrawal;Wooden magenta
10;63818;Intelligent firewall;JBOD Avon Industrial;olive solution
