id;posting_title;job_status;hiring_lead;department_id;employment_type;minimum_experience;job_description
1;Borders;49992;47494;18403;41023;82095;Borders U.S. Berkshire
2;bluetooth Cheese Ball;10717;32988;69567;91899;61577;generating Berkshire Communications
3;Savings Overpass;83703;49176;63492;38604;24953;payment Towels applications
4;Borders Associate;5623;19943;39898;69998;80003;Interface Marketing Central
5;Alabama Peso navigating;45320;55606;36511;21925;39959;grey SSL
6;Direct;34461;26334;87439;70175;19563;Interactions B2B client-driven
7;interface;50409;39655;77625;91284;2690;success Shirt
8;Dong THX;80279;18651;62112;61715;30603;Plastic Tasty Dynamic
9;Moldovan;16648;42037;93537;73724;56372;hub Harbors Taka
10;Fish Group payment;66564;34180;6562;68334;35211;User-friendly
