id;language_id;language_iso_code;language_name;language_english_name;is_active;sort_order
1;31372;killer value-added bypass;mobile Hampshire back-end;CFA Investor;9319;81001
2;90194;partnerships mobile drive;ivory interface cutting-edge;India Tasty access;73355;94481
3;2858;Operations Squares index;Wooden alliance;North;7193;23632
4;78311;deposit payment;port bypass JBOD;Bedfordshire Arabia Berkshire;38174;74567
5;21673;Manager withdrawal;Guarani;applications protocol navigating;14766;58820
6;85055;Concrete transmit;invoice system-worthy tertiary;maroon bleeding-edge;21872;69996
7;45639;Fresh up violet;Vatu;Keyboard District;94198;32896
8;29133;Ohio Hawaii;bandwidth;HDD SAS;21534;66502
9;33090;Taka;Soft application;Beauty;24133;44150
10;72773;Dollar;Generic;Avon Riyal;88466;57282
