id;province_id;province_code;province_name;province_english_name;dialling_code
1;87776;application Account Handcrafted;connect USB azure;copying Cotton Niue;Metal blue
2;37472;IB cyan;lime strategize;copy;Brand Account
3;43595;Suriname Loan National;Sports port;Practical Electronics revolutionize;Solutions Account Louisiana
4;93302;Canyon Berkshire Zloty;Agent uniform;Slovenia Sausages;parallelism Granite
5;32933;Applications;Cambridgeshire;fault-tolerant Hat;Intuitive
6;38369;Creative;Centralized disintermediate;Central Frozen Unbranded;neural Cove Up-sized
7;10024;Dynamic paradigm;global Industrial;Cheese Planner Armenian;Mall initiatives
8;28287;Data Berkshire;Operations deposit;metrics proactive bandwidth;open-source Table Principal
9;83249;Cross-group Kwacha vortals;eyeballs;Manager Forge;hack Shore Manager
10;453;Mouse;Account Specialist;maroon Data Refined;monetize parse bi-directional
