id;rural_district_id;rural_district_code;rural_district_name;rural_district_english_name
1;39562;Avon Adaptive Buckinghamshire;Pula Comoro;auxiliary
2;22260;Coordinator cyan;Practical Bahamas;Toys framework encoding
3;6830;Ameliorated;Car deposit visionary;Ball
4;91338;niches Jewelery;Mobility;Specialist target Mountains
5;96482;ROI Orchestrator Wooden;white;Philippine
6;48717;invoice;24;withdrawal technologies backing
7;51493;parsing;RAM;1080p Right-sized
8;73999;hard (the;CSS Rustic;Representative black convergence
9;93450;Optimized Small Games;deposit;yellow Coordinator AGP
10;32733;Account;Hat Vermont;Synergistic 1080p
