id;village_id;village_code;village_name;village_english_name
1;76522;Multi-layered card;maroon Unbranded;Coordinator dynamic
2;52227;connecting;Avon invoice invoice;hack
3;49618;scale Intuitive logistical;strategy composite;Small
4;78112;Port Soft Borders;Granite Pennsylvania wireless;Ergonomic sensor
5;94536;Frozen Corporate invoice;attitude open-source wireless;viral
6;70962;Generic Roads regional;Georgia;panel Representative
7;82900;auxiliary;International hack;Mexico system Stream
8;28433;Bedfordshire;Account Rustic Ferry;Buckinghamshire
9;27573;transmitter;wireless;redundant Analyst
10;8062;Analyst;deliver Berkshire;Cameroon
